,Alloy ID,References,Alloy,Microstructure,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,HOMO FCC SUM,HOMO BCC SUM
79,Alloy 1315,10.1016/j.actamat.2015.06.025,CoCrCuFeNi,FCC,0.014673447,7.39691808,0.009917917,0.88,1.024026715,-0.013380867,57.802739,289.013695,-62.1469691,0.05740398,1,0
80,Alloy 1316,10.1016/j.actamat.2015.06.025,CoCrCuFeNi,FCC,0.014673447,7.39691808,0.009917917,0.88,1.024026715,-0.013380867,57.802739,289.013695,-62.1469691,0.05740398,1,0
81,Alloy 1317,10.1016/j.actamat.2015.06.025,CoCrCuFeNi,FCC,0.014673447,7.39691808,0.009917917,0.88,1.024026715,-0.013380867,57.802739,289.013695,-62.1469691,0.05740398,1,0
82,Alloy 1318,10.1016/j.actamat.2015.06.025,CoCrCuFeNi,FCC,0.014673447,7.39691808,0.009917917,0.88,1.024026715,-0.013380867,57.802739,289.013695,-62.1469691,0.05740398,1,0
83,Alloy 1319,10.1016/j.actamat.2015.06.025,CoCrCuFeNi,FCC,0.014673447,7.39691808,0.009917917,0.88,1.024026715,-0.013380867,57.802739,289.013695,-62.1469691,0.05740398,1,0
84,Alloy 1320,10.1016/j.actamat.2015.06.025,CoCrCuFeNi,FCC,0.014673447,7.39691808,0.009917917,0.88,1.024026715,-0.013380867,57.802739,289.013695,-62.1469691,0.05740398,1,0
85,Alloy 1339,10.1016/j.jallcom.2017.09.089,AlCoCrFeNi,BCC,0.047032841,1.829110187,-0.003809551,2.96,1.076108939,-0.013380867,50.48984672,252.4492336,-6.048975456,0.074757752,0,1
86,Alloy 1340,10.1016/j.jallcom.2017.09.089,AlCoCrFeNi,BCC + Im,0.047032841,1.829110187,-0.003809551,2.96,1.076108939,-0.013380867,50.48984672,252.4492336,-6.048975456,0.074757752,0,1
87,Alloy 1380,10.3390/e21020169,Al10Co25Cr8Fe15Ni36Ti6,FCC + Im,0.045336306,1.637240741,-0.003895571,2.5044,1.08108557,-0.013302878,53.96953461,5396.953461,-6.472221196,0.083809006,0.849084296,0.150915704
88,Alloy 1385,10.3390/e21020169,Al9.5Co25Cr8Fe15Ni36Ti6Hf0.5,FCC + Im,0.047642217,1.631222159,-0.004548817,2.588375,1.157023806,-0.013467923,54.72707692,5472.707692,-5.933578763,0.08534245,0.829831097,0.155058822
89,Alloy 1386,10.1179/1743284715Y.0000000032,AlNbTiVZr,BCC + Im,0.054762126,1.524600926,0.011514182,4,1.105057633,-0.013380867,61.98408372,309.9204186,-4.461939184,0.074672816,0,0.610763499
90,Alloy 1391,10.1016/j.intermet.2019.106486,CoCrFeMnNi,FCC + Im,0.022496395,5.793658002,-0.004285451,1.52,1.03351308,-0.013380867,56.081148,280.40574,-26.43981334,0.05740398,0.734356955,0
