,Fe,Ni,Cr,Composition,VEC mean,VEC_condition,EQ 1000C AL3TI_D022,EQ 1000C ALTI3_D019,EQ 1000C ALTI_L10,EQ 1000C BCC_B2,EQ 1000C BCC_B2#2,EQ 1000C BCT_A5,EQ 1000C C14_LAVES,EQ 1000C C15_LAVES,EQ 1000C C36_LAVES,EQ 1000C CBCC_A12,EQ 1000C CHI_A12,EQ 1000C CR3SI_A15,EQ 1000C CRNI2_OP6,EQ 1000C CRSI2_C40,EQ 1000C CU3SN_HT_GAMMA,EQ 1000C CU6SN5_HT,EQ 1000C CUB_A13,EQ 1000C CUTI_B11,EQ 1000C FCC_L12,EQ 1000C GAMMA_D83,EQ 1000C HCP_A3,EQ 1000C HEUSLER_L21,EQ 1000C LIQUID,EQ 1000C M5SI3_D88,EQ 1000C MNNI2,EQ 1000C MNNI_L10,EQ 1000C MOSI2_C11B,EQ 1000C MU_PHASE,EQ 1000C NI3TA_D0A,EQ 1000C NI3TI_D024,EQ 1000C NITI2,EQ 1000C NIZN_TP2,EQ 1000C SIGMA,EQ FCC SUM,EQ BCC SUM,EQ FCC/BCC SUM,EQ 1000C AL5FE4_D82,EQ 1000C ALCU_EPS_B82
1091,0.38,0.18,0.44,Cr44Fe38Ni18,7.48,0.5,0,0,0,0.510926564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489073436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34E+17,1.34E+17,3.67E+17,0,0
1092,0.38,0.2,0.42,Cr42Fe38Ni20,7.56,0.5,0,0,0,0.413304168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.586695832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60E+16,3.60E+16,9.84E+16,0,0
1093,0.38,0.22,0.4,Cr40Fe38Ni22,7.64,0.5,0,0,0,0.319425114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680574886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.64759E+15,9.64759E+15,2.64E+16,0,0
1094,0.38,0.24,0.38,Cr38Fe38Ni24,7.72,0.5,0,0,0,0.228996813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771003187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58506E+15,2.58506E+15,7.06253E+15,0,0
1095,0.38,0.26,0.36,Cr36Fe38Ni26,7.8,0.5,0,0,0,0.141760262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.858239738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92666E+14,6.92666E+14,1.8924E+15,0,0
1096,0.38,0.28,0.34,Cr34Fe38Ni28,7.88,0.5,0,0,0,0.057484574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942515426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85599E+14,1.85599E+14,5.07067E+14,0,0
1097,0.38,0.3,0.32,Cr32Fe38Ni30,7.96,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97312E+13,4.97312E+13,1.35868E+14,0,0
1098,0.38,0.32,0.3,Cr30Fe38Ni32,8.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33254E+13,1.33254E+13,3.64057E+13,0,0
1099,0.38,0.34,0.28,Cr28Fe38Ni34,8.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57054E+12,3.57054E+12,9.75489E+12,0,0
1100,0.38,0.36,0.26,Cr26Fe38Ni36,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.56723E+11,9.56723E+11,2.61381E+12,0,0
